"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"54","CMI","=~","cmi9","0.953","0.133","0.000","[0.693, 1.213]","0.953***","0.621","0.050","0.000","[0.523, 0.720]","0.621***","CMI.BY.cmi9"
"55","CMI","=~","cmi10","0.993","0.129","0.000","[0.740, 1.245]","0.993***","0.673","0.045","0.000","[0.585, 0.761]","0.673***","CMI.BY.cmi10"
"56","CMI","=~","cmi11","0.990","0.122","0.000","[0.750, 1.230]","0.990***","0.711","0.041","0.000","[0.631, 0.791]","0.711***","CMI.BY.cmi11"
"57","CMI","=~","cmi12","1.089","0.142","0.000","[0.810, 1.369]","1.089***","0.666","0.046","0.000","[0.577, 0.756]","0.666***","CMI.BY.cmi12"
"58","CMI","=~","cmi13","1.066","0.144","0.000","[0.784, 1.348]","1.066***","0.642","0.048","0.000","[0.548, 0.737]","0.642***","CMI.BY.cmi13"
"59","CMI","=~","cmi14","1.018","0.137","0.000","[0.749, 1.287]","1.018***","0.644","0.048","0.000","[0.550, 0.738]","0.644***","CMI.BY.cmi14"
"60","CMI","=~","cmi15","0.865","0.121","0.000","[0.628, 1.101]","0.865***","0.618","0.051","0.000","[0.518, 0.717]","0.618***","CMI.BY.cmi15"
"61","CMI","=~","cmi16","0.971","0.138","0.000","[0.700, 1.242]","0.971***","0.606","0.052","0.000","[0.504, 0.707]","0.606***","CMI.BY.cmi16"
"62","CMI","=~","cmi17","1.102","0.146","0.000","[0.815, 1.389]","1.102***","0.654","0.047","0.000","[0.562, 0.746]","0.654***","CMI.BY.cmi17"
"63","CMI","=~","cmi18","1.042","0.138","0.000","[0.772, 1.312]","1.042***","0.658","0.047","0.000","[0.566, 0.749]","0.658***","CMI.BY.cmi18"
"64","CMI","=~","cmi19","0.940","0.130","0.000","[0.686, 1.195]","0.940***","0.626","0.050","0.000","[0.529, 0.724]","0.626***","CMI.BY.cmi19"
"65","CMI","=~","cmi20","0.835","0.118","0.000","[0.604, 1.066]","0.835***","0.611","0.051","0.000","[0.510, 0.712]","0.611***","CMI.BY.cmi20"
"66","CMI","=~","cmi21","0.813","0.111","0.000","[0.595, 1.030]","0.813***","0.635","0.049","0.000","[0.539, 0.731]","0.635***","CMI.BY.cmi21"
"67","CMI","=~","cmi22","0.991","0.128","0.000","[0.739, 1.242]","0.991***","0.674","0.045","0.000","[0.586, 0.762]","0.674***","CMI.BY.cmi22"
"68","CMI","=~","cmi23","0.970","0.143","0.000","[0.690, 1.251]","0.970***","0.582","0.054","0.000","[0.476, 0.688]","0.582***","CMI.BY.cmi23"
"69","CMI","=~","cmi24","0.952","0.129","0.000","[0.699, 1.205]","0.952***","0.640","0.048","0.000","[0.545, 0.735]","0.640***","CMI.BY.cmi24"
"70","CMI","=~","cmi25","1.053","0.142","0.000","[0.775, 1.330]","1.053***","0.645","0.048","0.000","[0.551, 0.739]","0.645***","CMI.BY.cmi25"
"71","CMI","=~","cmi26","0.811","0.126","0.000","[0.565, 1.057]","0.811***","0.551","0.057","0.000","[0.439, 0.662]","0.551***","CMI.BY.cmi26"
"72","CMI","=~","cmi27","1.029","0.130","0.000","[0.775, 1.283]","1.029***","0.696","0.042","0.000","[0.613, 0.779]","0.696***","CMI.BY.cmi27"
"73","CMI","=~","cmi28","0.995","0.127","0.000","[0.746, 1.245]","0.995***","0.683","0.044","0.000","[0.597, 0.769]","0.683***","CMI.BY.cmi28"
"74","CMI","=~","cmi29","0.784","0.123","0.000","[0.543, 1.026]","0.784***","0.543","0.058","0.000","[0.431, 0.656]","0.543***","CMI.BY.cmi29"
"75","CMI","=~","cmi30","0.993","0.131","0.000","[0.737, 1.249]","0.993***","0.663","0.046","0.000","[0.572, 0.753]","0.663***","CMI.BY.cmi30"
"76","CMI","=~","cmi31","1.010","0.133","0.000","[0.749, 1.270]","1.010***","0.662","0.046","0.000","[0.571, 0.752]","0.662***","CMI.BY.cmi31"
"77","CMI","=~","cmi32","1.051","0.131","0.000","[0.794, 1.307]","1.051***","0.706","0.041","0.000","[0.625, 0.787]","0.706***","CMI.BY.cmi32"
"78","CMI","=~","cmi33","1.094","0.137","0.000","[0.825, 1.363]","1.094***","0.699","0.042","0.000","[0.617, 0.782]","0.699***","CMI.BY.cmi33"
"79","CMI","=~","cmi34","1.035","0.138","0.000","[0.764, 1.306]","1.035***","0.651","0.047","0.000","[0.558, 0.744]","0.651***","CMI.BY.cmi34"
"80","CMI","=~","cmi35","0.938","0.134","0.000","[0.676, 1.200]","0.938***","0.605","0.052","0.000","[0.503, 0.707]","0.605***","CMI.BY.cmi35"
"81","CMI","=~","cmi36","0.842","0.125","0.000","[0.597, 1.088]","0.842***","0.577","0.055","0.000","[0.470, 0.684]","0.577***","CMI.BY.cmi36"
"82","CMI","=~","cmi37","0.990","0.147","0.000","[0.703, 1.277]","0.990***","0.579","0.054","0.000","[0.473, 0.686]","0.579***","CMI.BY.cmi37"
"83","CMI","=~","cmi38","1.129","0.147","0.000","[0.840, 1.418]","1.129***","0.668","0.045","0.000","[0.579, 0.757]","0.668***","CMI.BY.cmi38"
"84","CMI","=~","cmi39","0.985","0.128","0.000","[0.734, 1.236]","0.985***","0.671","0.045","0.000","[0.583, 0.760]","0.671***","CMI.BY.cmi39"
"85","CMI","=~","cmi40","1.181","0.145","0.000","[0.896, 1.465]","1.181***","0.715","0.040","0.000","[0.636, 0.794]","0.715***","CMI.BY.cmi40"
"86","CMI","=~","cmi41","1.007","0.131","0.000","[0.751, 1.264]","1.007***","0.672","0.045","0.000","[0.583, 0.760]","0.672***","CMI.BY.cmi41"
"87","CMI","=~","cmi42","1.082","0.139","0.000","[0.809, 1.354]","1.082***","0.679","0.044","0.000","[0.593, 0.766]","0.679***","CMI.BY.cmi42"
"88","CMI","=~","cmi43","1.205","0.144","0.000","[0.924, 1.486]","1.205***","0.744","0.037","0.000","[0.671, 0.816]","0.744***","CMI.BY.cmi43"
"89","CMI","=~","cmi44","0.880","0.118","0.000","[0.648, 1.111]","0.880***","0.645","0.048","0.000","[0.552, 0.739]","0.645***","CMI.BY.cmi44"
"90","CMI","=~","cmi45","0.922","0.120","0.000","[0.687, 1.158]","0.922***","0.669","0.045","0.000","[0.580, 0.758]","0.669***","CMI.BY.cmi45"
"91","CMI","=~","cmi46","0.926","0.137","0.000","[0.658, 1.194]","0.926***","0.581","0.054","0.000","[0.475, 0.688]","0.581***","CMI.BY.cmi46"
"92","CMI","=~","cmi47","1.139","0.164","0.000","[0.817, 1.461]","1.139***","0.597","0.053","0.000","[0.494, 0.700]","0.597***","CMI.BY.cmi47"
"93","PWB","=~","pwb1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.619","0.058","0.000","[0.505, 0.733]","0.619***","PWB.BY.pwb1"
"94","PWB","=~","pwb2","1.070","0.158","0.000","[0.759, 1.380]","1.070***","0.697","0.051","0.000","[0.597, 0.797]","0.697***","PWB.BY.pwb2"
"95","PWB","=~","pwb3","0.552","0.134","0.000","[0.289, 0.815]","0.552***","0.380","0.076","0.000","[0.230, 0.529]","0.380***","PWB.BY.pwb3"
"96","PWB","=~","pwb4","0.607","0.127","0.000","[0.358, 0.857]","0.607***","0.449","0.072","0.000","[0.308, 0.590]","0.449***","PWB.BY.pwb4"
"97","PWB","=~","pwb5","0.931","0.154","0.000","[0.629, 1.234]","0.931***","0.598","0.060","0.000","[0.479, 0.716]","0.598***","PWB.BY.pwb5"
"98","PWB","=~","pwb6","0.722","0.132","0.000","[0.464, 0.980]","0.722***","0.529","0.066","0.000","[0.400, 0.659]","0.529***","PWB.BY.pwb6"
"99","PWB","=~","pwb7","0.550","0.136","0.000","[0.283, 0.818]","0.550***","0.372","0.077","0.000","[0.221, 0.523]","0.372***","PWB.BY.pwb7"
"100","PWB","=~","pwb8","0.708","0.137","0.000","[0.439, 0.977]","0.708***","0.493","0.069","0.000","[0.358, 0.628]","0.493***","PWB.BY.pwb8"
"101","PWB","=~","pwb9","0.642","0.126","0.000","[0.395, 0.889]","0.642***","0.485","0.069","0.000","[0.349, 0.621]","0.485***","PWB.BY.pwb9"
"102","PWB","=~","pwb10","1.006","0.167","0.000","[0.678, 1.334]","1.006***","0.596","0.060","0.000","[0.477, 0.714]","0.596***","PWB.BY.pwb10"
"103","PWB","=~","pwb11","0.573","0.147","0.000","[0.285, 0.862]","0.573***","0.357","0.078","0.000","[0.205, 0.509]","0.357***","PWB.BY.pwb11"
"104","REMS","~~","CMI","0.130","0.028","0.000","[0.074, 0.186]","0.130***","0.601","0.054","0.000","[0.495, 0.707]","0.601***","REMS.WITH.CMI"
"105","REMS","~~","PWB","-0.081","0.019","0.000","[-0.119, -0.043]","-0.081***","-0.559","0.066","0.000","[-0.688, -0.430]","-0.559***","REMS.WITH.PWB"
"106","CMI","~~","PWB","-0.225","0.051","0.000","[-0.324, -0.125]","-0.225***","-0.568","0.064","0.000","[-0.694, -0.442]","-0.568***","CMI.WITH.PWB"
"107","Inf32","~~","Inf32","0.164","0.019","0.000","[0.127, 0.201]","0.164***","0.673","0.064","0.000","[0.549, 0.798]","0.673***","Variances.Inf32"
"108","Inf38","~~","Inf38","0.154","0.018","0.000","[0.119, 0.189]","0.154***","0.632","0.063","0.000","[0.508, 0.757]","0.632***","Variances.Inf38"
"109","Inf21","~~","Inf21","0.139","0.016","0.000","[0.107, 0.170]","0.139***","0.686","0.063","0.000","[0.562, 0.810]","0.686***","Variances.Inf21"
"110","Inf17","~~","Inf17","0.170","0.020","0.000","[0.132, 0.209]","0.170***","0.695","0.063","0.000","[0.571, 0.819]","0.695***","Variances.Inf17"
"111","Inf9","~~","Inf9","0.147","0.017","0.000","[0.114, 0.181]","0.147***","0.645","0.064","0.000","[0.520, 0.769]","0.645***","Variances.Inf9"
"112","Inf36","~~","Inf36","0.166","0.019","0.000","[0.129, 0.204]","0.166***","0.665","0.064","0.000","[0.540, 0.790]","0.665***","Variances.Inf36"
"113","Inf5","~~","Inf5","0.155","0.018","0.000","[0.120, 0.190]","0.155***","0.703","0.063","0.000","[0.579, 0.827]","0.703***","Variances.Inf5"
"114","Inf22","~~","Inf22","0.179","0.021","0.000","[0.139, 0.219]","0.179***","0.716","0.063","0.000","[0.593, 0.840]","0.716***","Variances.Inf22"
"115","SClass6","~~","SClass6","0.140","0.016","0.000","[0.108, 0.172]","0.140***","0.573","0.062","0.000","[0.451, 0.695]","0.573***","Variances.SClass6"
"116","SClass31","~~","SClass31","0.164","0.019","0.000","[0.127, 0.202]","0.164***","0.657","0.064","0.000","[0.532, 0.782]","0.657***","Variances.SClass31"
"117","SClass8","~~","SClass8","0.136","0.016","0.000","[0.105, 0.167]","0.136***","0.683","0.063","0.000","[0.558, 0.807]","0.683***","Variances.SClass8"
"118","SClass40","~~","SClass40","0.158","0.018","0.000","[0.122, 0.194]","0.158***","0.649","0.064","0.000","[0.524, 0.774]","0.649***","Variances.SClass40"
"119","SClass2","~~","SClass2","0.169","0.020","0.000","[0.131, 0.208]","0.169***","0.697","0.063","0.000","[0.573, 0.821]","0.697***","Variances.SClass2"
