"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","MntlHlth","~","Engmt","b1",0.144002875331123,0.0922616637195985,1.560809436179,0.11856872034835,-0.0349730306520682,0.336613143727688,0.144002875331123,0.0944158552204793,0.0944158552204793
"2","MntlHlth","~","DisEngmt","b2",-0.390509126386975,0.085242015562058,-4.58118128498118,4.62356824693089e-06,-0.550828381705079,-0.215180209594612,-0.390509126386975,-0.252619802469309,-0.252619802469309
"3","MntlHlth","~","GRMS","c_p",-0.535095782404548,0.0780692227805432,-6.85411950249243,7.17537140815239e-12,-0.686761605763837,-0.381683976297468,-0.535095782404548,-0.475653136842271,-0.660780571516384
"4","Engmt","~","GRMS","a1",0.384005846403336,0.0413742190077741,9.28128326316401,0,0.309837899854052,0.471488257424513,0.384005846403336,0.520622467531176,0.723252271441654
"5","DisEngmt","~","GRMS","a2",0.38635741041691,0.0411319417350676,9.39312354630503,0,0.302831707396333,0.463396673869148,0.38635741041691,0.530898967339676,0.737528454842291
"6","MntlHlth","~~","MntlHlth","",0.415351569706477,0.0364546516953668,11.3936507521005,0,0.348593969748401,0.494489458599004,0.415351569706477,0.633384353463158,0.633384353463158
"7","Engmt","~~","Engmt","",0.205492104064657,0.0211043973233913,9.7369330626133,0,0.170017272688165,0.254234891844651,0.205492104064657,0.728952246301749,0.728952246301749
"8","DisEngmt","~~","DisEngmt","",0.197076050786823,0.0166882021415094,11.8093039091746,0,0.168873430398391,0.234519143927752,0.197076050786823,0.718146286477665,0.718146286477665
"9","GRMS","~~","GRMS","",0.518162763066661,0,NA,NA,0.518162763066661,0.518162763066661,0.518162763066661,1,0.518162763066661
"10","MntlHlth","~1","","",5.14055067929801,0.224014079428517,22.9474446088928,0,4.70233221856695,5.56900246185975,5.14055067929801,6.3479775536848,6.3479775536848
"11","Engmt","~1","","",1.49426591621853,0.108962101629004,13.7136297288596,0,1.2803953789566,1.70512441165084,1.49426591621853,2.81436136497714,2.81436136497714
"12","DisEngmt","~1","","",1.4904173368612,0.106228420055405,14.0303069186557,0,1.29305902997669,1.69752077165423,1.4904173368612,2.8450992937841,2.8450992937841
"13","GRMS","~1","","",2.55705627705628,0,NA,NA,2.55705627705628,2.55705627705628,2.55705627705628,3.55227996470272,2.55705627705628
"14","indirect1",":=","a1*b1","indirect1",0.0552979460260419,0.0365150624994271,1.51438727585115,0.129927644548773,-0.0106361162020355,0.140856111235447,0.0552979460260419,0.0491550155189522,0.068286481748318
"15","indirect2",":=","a2*b2","indirect2",-0.150876094815041,0.0374241919086082,-4.0315124287383,5.54190652422015e-05,-0.227819739159339,-0.0832723370584525,-0.150876094815041,-0.134115592260509,-0.186314292577754
"16","contrast",":=","indirect1-indirect2","contrast",0.206174040841083,0.0516799487191247,3.98943973341805,6.62295432642956e-05,0.116590926351585,0.322911286902918,0.206174040841083,0.183270607779461,0.254600774326072
"17","total_indirects",":=","indirect1+indirect2","total_indirects",-0.0955781487889995,0.0528868864567337,-1.80721829535553,0.0707282494249744,-0.207820860217787,-0.00178959314307472,-0.0955781487889995,-0.0849605767415568,-0.118027810829436
"18","total_c",":=","c_p+(indirect1)+(indirect2)","total_c",-0.630673931193547,0.0581270093998174,-10.849929107062,0,-0.752649687389511,-0.525665389239236,-0.630673931193547,-0.560613713583828,-0.77880838234582
"19","direct",":=","c_p","direct",-0.535095782404548,0.07810828669231,-6.8506915855476,7.34945437841361e-12,-0.686761605763837,-0.381683976297468,-0.535095782404548,-0.475653136842271,-0.660780571516384
